GDP_per_capita,log.GDP_per_capita.,HealthExpenditure_percentofGDP,Population_Growth,Infant_Mortality_per1000livebirth,Inflation_ConsumerPrices_percent,Current_education_expenditure_percentofGDP,Life_expectancy_Birth_inyears
1727.85,3.24,12.11,1.47,41.3,0.56,4,68.12
3568.29,3.55,12.59,1.05,25.4,1.79,4,67.76
5588.39,3.75,7.95,1.88,31.2,4.29,4,63.37
54589.06,4.74,10.9,1.16,2.2,1.95,4,82.56
82267.81,4.92,10.05,0.66,2,2.76,4,82.76
74469.8,4.87,8.47,2.68,1.6,2.68,4,82.86
5001.42,3.7,5.69,1.92,11.2,3,7.47,74.5
1192.48,3.08,9.28,0.8,69.1,4.75,7.29,53.71
533.99,2.73,6,2.14,14.7,16.03,6.99,54.31
3243.48,3.51,3.06,1.18,24.7,2.72,6.85,71.46
1249.14,3.1,4.33,1.97,39.2,2.29,6.83,69.26
12485.42,4.1,7.56,0.99,7.5,2.22,6.78,80.1
7503.88,3.88,5.85,2.2,32.3,3.24,6.72,69.28
33399.06,4.52,5,1.98,6.9,0.54,6.39,75.4
47519.55,4.68,10.32,0.46,2.8,2.05,6.38,81.6
4740.7,3.68,5.1,1.17,14.4,3,6.37,70.8
49964.5,4.7,9.04,0.13,2,1.08,6.27,81.73
4156.85,3.62,3.79,1.8,14.2,6.81,6.17,69.69
7005.1,3.85,8.25,1.36,27.8,4.5,6.16,63.86
42063.45,4.62,7.52,1.93,3,0.82,6.16,82.8
9151.38,3.96,9.51,0.78,12.8,3.66,6.09,75.67
2492.87,3.4,7.05,1.67,14.9,4.35,6.06,75.09
43306.07,4.64,9.21,1.79,4.1,1.6,6.05,81.86
1597.07,3.2,5.29,1.74,16.5,3,5.9,71.57
4142.02,3.62,6.22,2.01,20.4,4.27,5.87,76.69
6938.09,3.84,7.97,0.96,16.6,3,5.69,71.57
7361.4,3.87,4.47,0.35,13.8,2.32,5.69,72.42
4105.89,3.61,6.54,1.01,40.7,4.82,5.68,59.4
